State,District,Latitude,Longitude,District code,Population,sex_ratio,litercy_rate
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,112274,93.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,1693622,95.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,738804,97.0,59.0
Assam,Cachar,24.815570668693017,92.86849650455927,316,1736617,96.0,68.0
Assam,Darrang,26.58463215962442,92.04141338028155,325,928500,95.0,52.0
Assam,Dhemaji,27.586533438485816,94.71336908517353,308,686133,95.0,62.0
Assam,Dibrugarh,27.30612284482757,95.0998282327587,310,1326335,96.0,67.0
Assam,Goalpara,26.017277777777807,90.59869891598912,302,1008183,96.0,56.0
Assam,Golaghat,26.377219709794485,93.82583397823468,313,1066888,96.0,68.0
Assam,Hailakandi,24.457496089385486,92.59154664804475,318,659296,95.0,62.0
Assam,Jorhat,26.76244824016563,94.30197722567289,312,1092256,96.0,73.0
Assam,Kamrup,26.170939452054807,91.58863273972592,321,1517542,95.0,66.0
Assam,Karbi Anglong,26.08966454598031,93.11536570271832,314,956313,95.0,58.0
Assam,Karimganj,24.69660712250711,92.3679498575498,317,1228686,96.0,65.0
Assam,Kokrajhar,26.497246635730868,90.13997470997688,300,887142,96.0,55.0
Assam,Lakhimpur,27.14128805970149,94.0775949253732,307,1042137,97.0,66.0
Assam,Nagaon,26.26462170626351,92.9306191144708,305,2823768,96.0,61.0
Assam,Nalbari,26.46323767605632,91.40598521126763,323,771639,95.0,69.0
Assam,Sonitpur,26.73514926829268,92.85197804878044,306,1924110,96.0,58.0
Assam,Tinsukia,27.53549291139241,95.69055949367085,309,1327929,95.0,60.0
Bihar,Araria,26.211528119180603,87.30766554934816,209,2811569,92.0,43.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,235,2540073,93.0,58.0
Bihar,Aurangabad,24.774291867469877,84.45986024096379,515,3701282,92.0,68.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,93.0,58.0
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,92.0,68.0
Bihar,Banka,24.832355642023337,86.8664916342413,225,2034763,91.0,47.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222,2970541,89.0,52.0
Bihar,Bhagalpur,25.277192885375477,87.04213814229242,224,3037766,88.0,52.0
